Country,November_month_2017,November_month_2018,November_month_2019,YearEnd_November_2017,YearEnd_November_2018,YearEnd_November_2019,N_month,p_month,N_year,p_year
Oceania,"140,144","148,998","147,357","1,640,720","1,667,814","1,714,566","-1,641",-1.1,"46,752",2.8
Australia,"123,392","131,245","129,636","1,474,144","1,492,253","1,535,606","-1,609",-1.2,"43,353",2.9
Cook Islands,"1,024","1,193","1,223","11,504","12,009","13,964",30,2.5,"1,955",16.3
Fiji,"3,168","3,528","3,554","28,480","30,664","33,240",26,0.7,"2,576",8.4
New Caledonia,"1,536","1,369","1,566","20,192","20,713","20,564",197,14.4,-149,-0.7
French Polynesia,"1,856","2,102","2,312","22,304","24,710","25,720",210,10,"1,010",4.1
Tonga,"2,176","2,269","2,198","20,768","21,005","20,231",-71,-3.1,-774,-3.7
Vanuatu,"1,328",958,"1,123","6,464","6,782","8,005",165,17.2,"1,223",18
Samoa,"2,960","2,956","3,371","24,736","26,220","28,359",415,14,"2,139",8.2
Asia,"99,424","99,949","94,660","963,008","1,041,021","979,026","-5,289",-5.3,"-61,995",-6
"China, People's Republic of","41,808","39,948","38,820","414,480","449,484","408,300","-1,128",-2.8,"-41,184",-9.2
Hong Kong (SAR),"4,768","4,726","4,428","53,728","59,366","53,824",-298,-6.3,"-5,542",-9.3
Indonesia,"1,856","2,075","1,810","22,768","26,491","27,298",-265,-12.8,807,3
India,"6,416","7,116","6,909","59,392","69,484","64,955",-207,-2.9,"-4,529",-6.5
Japan,"10,496","9,092","9,083","101,904","99,876","97,331",-9,-0.1,"-2,545",-2.5
"Korea, Republic of","9,312","8,839","9,386","89,168","89,143","86,379",547,6.2,"-2,764",-3.1
Malaysia,"7,040","8,053","5,017","54,496","56,405","42,284","-3,036",-37.7,"-14,121",-25
Philippines,"1,952","2,202","1,846","23,424","28,538","27,246",-356,-16.2,"-1,292",-4.5
Singapore,"8,320","8,475","8,369","58,016","61,195","64,099",-106,-1.3,"2,904",4.7
Thailand,"1,680","1,926","1,776","27,264","31,446","28,894",-150,-7.8,"-2,552",-8.1
Taiwan,"3,728","5,515","5,071","35,920","43,291","53,927",-444,-8.1,"10,636",24.6
Viet Nam,656,714,623,"7,536","9,530","9,217",-91,-12.7,-313,-3.3
Europe,"61,872","63,816","61,249","578,208","564,648","555,265","-2,567",-4,"-9,383",-1.7
Austria,"1,104","1,314","1,098","9,072","9,362","9,741",-216,-16.4,379,4
Belgium,"1,088","1,066","1,008","8,096","7,978","7,553",-58,-5.4,-425,-5.3
Switzerland,"2,752","2,706","2,446","23,568","22,610","21,640",-260,-9.6,-970,-4.3
Germany,"11,872","12,242","11,412","105,168","101,330","99,028",-830,-6.8,"-2,302",-2.3
Denmark,"1,488","1,458","1,548","13,168","13,282","13,824",90,6.2,542,4.1
Spain,"2,096","1,832","1,981","13,376","14,216","13,929",149,8.1,-287,-2
France,"4,960","4,642","4,869","42,528","44,034","40,999",227,4.9,"-3,035",-6.9
United Kingdom,"22,784","23,624","22,658","248,720","235,000","233,218",-966,-4.1,"-1,782",-0.8
Ireland,"1,040","1,137","1,192","12,816","12,017","12,728",55,4.8,711,5.9
Italy,"1,040","1,175","1,279","11,408","12,519","12,159",104,8.9,-360,-2.9
Netherlands,"3,856","4,262","4,121","28,752","30,838","30,475",-141,-3.3,-363,-1.2
Russia,768,876,685,"6,528","6,556","6,054",-191,-21.8,-502,-7.7
Sweden,"1,856","1,725","1,556","15,968","15,821","14,440",-169,-9.8,"-1,381",-8.7
Americas,"51,392","55,119","50,753","448,064","482,031","489,668","-4,366",-7.9,"7,637",1.6
Argentina,"1,584","1,415",906,"17,904","22,199","14,663",-509,-36,"-7,536",-33.9
Brazil,"1,536","1,449","1,168","17,104","19,449","16,066",-281,-19.4,"-3,383",-17.4
Canada,"7,808","8,848","7,804","65,984","70,848","72,157","-1,044",-11.8,"1,309",1.8
Chile,688,746,531,"8,896","9,514","8,986",-215,-28.8,-528,-5.5
United States of America,"38,272","41,429","39,251","324,880","347,141","364,609","-2,178",-5.3,"17,468",5
Africa and the Middle East,"4,256","4,806","5,241","48,864","52,086","56,520",435,9.1,"4,434",8.5
United Arab Emirates,640,655,687,"11,040","10,223","10,076",32,4.9,-147,-1.4
Israel,832,922,869,"5,824","6,250","6,289",-53,-5.7,39,0.6
South Africa,"1,776","2,133","2,609","18,560","21,189","25,768",476,22.3,"4,579",21.6
Not stated,"2,208","13,101","12,848","24,208","33,053","94,464",-253,-1.9,"61,411",185.8
,,,,,,,,,,
Total(2),"360,136","385,789","372,108","3,714,551","3,847,311","3,889,509","-13,681",-3.5,"42,198",1.1